ref_date,sheet,maturity,rate,va_bps,quality,source_file,source_doclib_id
2022-09-30,no_VA,15,0.02974,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,no_VA,16,0.02922,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,no_VA,17,0.02861,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,no_VA,18,0.02799,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,no_VA,19,0.02744,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,no_VA,20,0.02699,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,with_VA,1,0.02548,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,with_VA,2,0.02895,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,with_VA,3,0.02962,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,with_VA,4,0.03007,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,with_VA,5,0.03043,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,with_VA,6,0.03071,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,with_VA,7,0.03090,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,with_VA,8,0.03113,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,with_VA,9,0.03137,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,with_VA,10,0.03162,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,with_VA,11,0.03176,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,with_VA,12,0.03188,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,with_VA,13,0.03190,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,with_VA,14,0.03176,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,with_VA,15,0.03144,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,with_VA,16,0.03092,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,with_VA,17,0.03031,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,with_VA,18,0.02969,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,with_VA,19,0.02914,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-09-30,with_VA,20,0.02869,17,verified,EIOPA_RFR_20220930_Term_Structures.xlsx,b06676fd-c282-47ae-9a2d-1b75a0769ec1
2022-12-31,no_VA,1,0.03176,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,no_VA,2,0.03295,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,no_VA,3,0.03203,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,no_VA,4,0.03152,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,no_VA,5,0.03131,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,no_VA,6,0.03110,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,no_VA,7,0.03091,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,no_VA,8,0.03086,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,no_VA,9,0.03088,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,no_VA,10,0.03092,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,no_VA,11,0.03100,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,no_VA,12,0.03085,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,no_VA,13,0.03071,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,no_VA,14,0.03053,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,no_VA,15,0.03022,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,no_VA,16,0.02974,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,no_VA,17,0.02916,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,no_VA,18,0.02859,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,no_VA,19,0.02807,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,no_VA,20,0.02765,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,with_VA,1,0.03366,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,with_VA,2,0.03485,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,with_VA,3,0.03393,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,with_VA,4,0.03342,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,with_VA,5,0.03321,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,with_VA,6,0.03300,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,with_VA,7,0.03281,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,with_VA,8,0.03276,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,with_VA,9,0.03278,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,with_VA,10,0.03282,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,with_VA,11,0.03290,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,with_VA,12,0.03275,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,with_VA,13,0.03261,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,with_VA,14,0.03243,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,with_VA,15,0.03212,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,with_VA,16,0.03164,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,with_VA,17,0.03106,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,with_VA,18,0.03049,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,with_VA,19,0.02997,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
2022-12-31,with_VA,20,0.02955,19,verified,EIOPA_RFR_20221231_Term_Structures.xlsx,8584474b-9b3f-4ecc-a8f5-5952d1468513
